city,ISO3166
Sukhumi,ABH
Kabul,AFG
Episkopi Cantonment,AKD
Tirana,ALB
Algiers,DZA
Pago Pago,ASM
Andorra la Vella,AND
Luanda,AGO
The Valley,AIA
St. John's,ATG
Buenos Aires,ARG
Yerevan,ARM
Oranjestad,ABW
Georgetown,GUY
Canberra,AUS
Vienna,AUT
Baku,AZE
Nassau,BHS
Manama,BHR
Dhaka,BGD
Bridgetown,BRB
Minsk,BLR
Brussels,BEL
Belmopan,BLZ
Porto-Novo,BEN
Hamilton,BMU
Thimphu,BTN
Sucre,BOL
La Paz,BOL
Sarajevo,BIH
Gaborone,BWA
Brasília,BRA
Road Town,VGB
Bandar Seri Begawan,BRN
Sofia,BGR
Ouagadougou,BFA
Bujumbura,BDI
Phnom Penh,KHM
Yaoundé,CMR
Ottawa,CAN
Praia,CPV
George Town,CYM
Bangui,CAF
N'Djamena,TCD
Santiago,CHL
Beijing,CHN
Flying Fish Cove,CXR
West Island,CCK
Bogotá,COL
Moroni,COM
Avarua,COK
San José,CRI
Zagreb,HRV
Havana,CUB
Willemstad,CUW
Nicosia,CYP
Prague,CZE
Yamoussoukro,CIV
Kinshasa,COD
Copenhagen,DNK
Djibouti,DJI
Roseau,DMA
Santo Domingo,DOM
Dili,TLS
Hanga Roa,CHL
Quito,ECU
Cairo,EGY
San Salvador,SLV
Malabo,GNQ
Asmara,ERI
Tallinn,EST
Addis Ababa,ETH
Stanley,FLK
Tórshavn,FRO
Palikir,FSM
Suva,FJI
Helsinki,FIN
Paris,FRA
Cayenne,GUF
Papeete,PYF
Libreville,GAB
Banjul,GMB
Tbilisi,GEO
Berlin,DEU
Accra,GHA
Gibraltar,GIB
Athens,GRC
Nuuk,GRL
St. George's,GRD
Hagåtña,GUM
Guatemala City,GTM
St. Peter Port,GGY
Conakry,GIN
Bissau,GNB
Georgetown,GUY
Port-au-Prince,HTI
Tegucigalpa,HN
Budapest,HUN
Reykjavík,ISL
New Delhi,IND
Jakarta,IDN
Tehran,IRN
Baghdad,IRQ
Dublin,IRL
Douglas,IMN
Jerusalem,ISR
Rome,ITA
Kingston,JAM
Tokyo,JPN
St. Helier,JEY
Amman,JOR
Astana,KAZ
Nairobi,KEN
Tarawa,KIR
Pristina,KSV
Kuwait City,KWT
Bishkek,KGZ
Vientiane,LAO
Riga,LVA
Beirut,LBN
Maseru,LSO
Monrovia,LBR
Tripoli,LBY
Vaduz,LIE
Vilnius,LTU
Luxembourg,LUX
Skopje,MKD
Antananarivo,MDG
Lilongwe,MWI
Kuala Lumpur,MYS
Malé,MDV
Bamako,MLI
Valletta,MLT
Majuro,MHL
Nouakchott,MRT
Port Louis,MUS
Mexico City,MEX
Chisinau,MDA
Monaco,MCO
Ulaanbaatar,MNG
Podgorica,MNE
Plymouth,MSR
Rabat,MAR
Maputo,MOZ
Naypyidaw,MMR
Stepanakert,NK
Windhoek,NAM
Yaren,NRU
Kathmandu,NPL
Amsterdam,NLD
Nouméa,NCL
Wellington,NZL
Managua,NIC
Niamey,NER
Abuja,NGA
Alofi,NIU
Kingston,NFK
Pyongyang,PRK
Nicosia,CYP
Belfast,NIR
Saipan,NMI
Oslo,NOR
Muscat,OMN
Islamabad,PAK
Ngerulmud,PLW
Jerusalem,PSE
Panama City,PAN
Port Moresby,PNG
Asunción,PRY
Lima,PER
Manila,PHL
Adamstown,PCN
Warsaw,POL
Lisbon,PRT
San Juan,PRI
Doha,QAT
Taipei,TWN
Brazzaville,COG
Bucharest,ROU
Moscow,RUS
Kigali,RWA
Gustavia,BL
Jamestown,SHN
Basseterre,KNA
Castries,LCA
Marigot,MS
St. Pierre,SPM
Kingstown,SVG
Apia,WSM
San Marino,SMR
Riyadh,SAU
Edinburgh,SCT
Dakar,SEN
Belgrade,SRB
Victoria,SYC
Freetown,SLE
Singapore,SGP
Philipsburg,SXM
Bratislava,SVK
Ljubljana,SVN
Honiara,SLB
Mogadishu,SOM
Hargeisa,SOL
Pretoria,ZAF
Grytviken,SGS
Seoul,KOR
Tskhinvali,OS
Juba,SSD
Madrid,ESP
Sri Jayawardenapura Kotte,LKA
Khartoum,SDN
Paramaribo,SUR
Mbabane,SWZ
Stockholm,SWE
Bern,CHE
Damascus,SYR
São Tomé,STP
Dushanbe,TJK
Dodoma,TZA
Bangkok,THA
Lomé,TGO
Nukuʻalofa,TON
Tiraspol,PMR
Port of Spain,TTO
Edinburgh of the Seven Seas,SHN
Tunis,TUN
Ankara,TUR
Ashgabat,TKM
Cockburn Town,TCA
Funafuti,TUV
Kampala,UGA
Kyiv,UKR
Abu Dhabi,ARE
London,GBR
Washington,USA
Charlotte Amalie,VIR
Montevideo,URY
Tashkent,UZB
Port Vila,VUT
Vatican City,VAT
Caracas,VEN
Hanoi,VNM
Cardiff,WLS
Mata-Utu,WLF
El Aaiún,ESH
Sanaá,YEM
Lusaka,ZMB
Harare,ZWE
